date,mslp,slhf,sshf,ssr,str,z500,z850,w10,wz500,wz850,sst
1982-03-13,101366.87,-194508.75,-6507.5024,845476.3,-252145.16,57629.406,14951.193,5.566589,9.647078,1.5360045,24.81
1982-03-14,101227.72,-133008.98,-4177.3735,952575.3,-271983.3,57495.285,14858.756,3.0074892,10.695265,4.0300207,25.14
1982-03-15,101254.33,-169265.48,-22484.521,949599.5,-323669.7,57444.164,14865.322,2.7698338,14.394982,4.6857667,25.42
1982-03-16,101313.12,-279160.06,-13345.056,966426.2,-290363.56,57435.715,14890.518,5.609262,9.121206,2.139339,25.162498
1982-03-17,101298.8,-114542.69,-7685.499,900285.1,-230973.02,57481.97,14924.342,4.659406,6.573516,1.6228886,24.96
1982-03-18,101265.02,-317941.44,-7321.049,929098.0,-232494.52,57536.223,14897.085,8.160101,5.259614,6.7297354,24.805
1982-03-19,101191.72,-225601.98,-3232.1548,919284.44,-234898.19,57507.996,14833.232,6.721444,5.691823,4.0525656,24.785
1982-03-20,101140.19,-146557.64,-822.08185,930941.4,-212629.94,57487.98,14795.279,5.946701,6.29086,4.2584367,25.099998
1982-03-21,101142.71,-189567.33,-6213.5913,913787.7,-207925.84,57427.812,14805.067,7.2997694,8.369987,4.0262423,25.217499
1982-03-22,101101.234,-245555.2,1508.0471,836833.1,-168256.16,57367.285,14777.23,7.904554,11.429413,1.8626082,25.2375
1982-03-23,101141.55,-234692.52,-873.8102,952989.94,-199518.77,57343.613,14814.309,6.8952274,8.184323,1.5657847,25.1975
1982-03-24,101134.05,-344639.9,-12785.448,902512.25,-204827.5,57221.25,14754.203,7.953578,10.117036,6.486877,25.0075
1982-03-25,101417.336,-768025.9,-89971.266,836660.2,-195192.16,57231.86,14878.21,12.249367,10.019991,9.145242,24.759998
1982-03-26,101450.695,-700097.8,-52564.582,737827.6,-163704.88,57410.195,14910.614,11.016253,6.7954783,9.562165,24.597502
1982-03-27,101443.43,-719557.1,-94610.36,776212.5,-164031.97,57454.223,14871.773,11.488257,4.0339274,9.656196,24.595
1982-03-28,101496.28,-744726.44,-63220.633,699776.9,-169583.55,57435.453,14889.402,11.853472,5.667902,10.3295355,24.489998
